slide	layer	a_layer	b_layer	a_class	b_class	a_glutotal	a_gabatotal	b_glutotal	b_gabatotal	a_region	b_region	a_ei	b_ei	a_merge_region	b_merge_region	a_cell_Neuron_type	b_cell_Neuron_type	a_enrich_class_cell_ids_num	b_enrich_class_cell_ids_num	a_cell_id_n	b_cell_id_n	overlap_a_in_b	overlap_b_in_a
C57BL6J-1.090	layer 2/3	layer 2/3	layer 2/3	049 Lamp5 Gaba	113 MEA-COA-BMA Ccdc42 Glut	5	4	31	11	Perirhinal area, layer 2/3	Perirhinal area, layer 2/3,Temporal association areas, layer 2/3	1.25	2.81818181818182	regions_4	regions_1	Gaba	Glut	1	1	17	86	1	0.197674418604651
C57BL6J-1.097	layer 2/3	layer 2/3	layer 2/3	049 Lamp5 Gaba	113 MEA-COA-BMA Ccdc42 Glut	16	2	76	5	Retrosplenial area, ventral part, layer 2/3	Retrosplenial area, ventral part, layer 2/3	8	15.2	regions_4	regions_1	Gaba	Glut	2	1	28	111	1	0.252252252252252
C57BL6J-1.097	layer 2/3	layer 2/3	layer 2/3	049 Lamp5 Gaba	187 SCsg Pde5a Glut	16	2	81	6	Retrosplenial area, ventral part, layer 2/3	Retrosplenial area, ventral part, layer 2/3	8	13.5	regions_4	regions_1	Gaba	Glut	2	1	28	117	1	0.239316239316239
C57BL6J-1.097	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	113 MEA-COA-BMA Ccdc42 Glut	2	1	76	5	Retrosplenial area, ventral part, layer 2/3	Retrosplenial area, ventral part, layer 2/3	2	15.2	regions_3	regions_1	Gaba	Glut	1	1	4	111	1	0.036036036036036
C57BL6J-1.097	layer 2/3	layer 2/3	layer 2/3	052 Pvalb Gaba	187 SCsg Pde5a Glut	2	1	81	6	Retrosplenial area, ventral part, layer 2/3	Retrosplenial area, ventral part, layer 2/3	2	13.5	regions_3	regions_1	Gaba	Glut	1	1	4	117	1	0.0341880341880342
C57BL6J-1.098	layer 5	layer 5	layer 5	047 Sncg Gaba	113 MEA-COA-BMA Ccdc42 Glut	24	13	61	21	Lateral visual area, layer 5,Laterointermediate area, layer 5,Temporal association areas, layer 5	Lateral visual area, layer 5,Laterointermediate area, layer 5,Posterior auditory area, layer 5,Temporal association areas, layer 5	1.84615384615385	2.9047619047619	regions_1	regions_1	Gaba	Glut	1	1	84	192	0.976190476190476	0.427083333333333
C57BL6J-1.098	layer 5	layer 5	layer 5	049 Lamp5 Gaba	113 MEA-COA-BMA Ccdc42 Glut	8	7	61	21	Lateral visual area, layer 5,Laterointermediate area, layer 5	Lateral visual area, layer 5,Laterointermediate area, layer 5,Posterior auditory area, layer 5,Temporal association areas, layer 5	1.14285714285714	2.9047619047619	regions_2	regions_1	Gaba	Glut	1	1	34	192	1	0.177083333333333
C57BL6J-1.098	layer 5	layer 5	layer 5	052 Pvalb Gaba	113 MEA-COA-BMA Ccdc42 Glut	7	8	61	21	Lateral visual area, layer 5,Laterointermediate area, layer 5	Lateral visual area, layer 5,Laterointermediate area, layer 5,Posterior auditory area, layer 5,Temporal association areas, layer 5	0.875	2.9047619047619	regions_3	regions_1	Gaba	Glut	4	1	32	192	1	0.166666666666667
C57BL6J-1.100	layer 2/3	layer 2/3	layer 2/3	049 Lamp5 Gaba	113 MEA-COA-BMA Ccdc42 Glut	5	1	149	15	Temporal association areas, layer 2/3	Posterior auditory area, layer 2/3,Temporal association areas, layer 2/3,Ventral auditory area, layer 2/3	5	9.93333333333333	regions_2	regions_1	Gaba	Glut	1	1	9	218	1	0.0412844036697248
C57BL6J-1.101	layer 5	layer 5	layer 5	052 Pvalb Gaba	256 SPVC Mafa Glut	41	10	70	13	Temporal association areas, layer 5	Temporal association areas, layer 5	4.1	5.38461538461539	regions_5	regions_1	Gaba	Glut	7	1	129	195	0.906976744186046	0.6
