subclass	true_cluster_n	true_mean_cluster_size	true_median_cluster_size	random_sample_n	random_mean_of_replicate_maxima	random_median_of_replicate_maxima	random_q1	random_q3	random_min	random_max	difference_true_mean_minus_random_max_mean	fold_change_true_mean_over_random_max_mean	p_one_sided_true_gt	p_one_sided_true_lt	p_two_sided
044 OB Dopa-Gaba	40	160.425	102.5	500	684.764	681.0	591.75	790.0	397.0	921.0	-524.3389999999999	0.23427779497753973	1.0	0.001996007984031936	0.001996007984031936
045 OB-STR-CTX Inh IMN	20	146.55	111.5	500	670.82	677.0	580.75	762.5	321.0	1013.0	-524.27	0.21846396947020066	1.0	0.001996007984031936	0.001996007984031936
046 Vip Gaba	1994	109.89317953861585	70.0	500	1261.314	1205.5	1042.75	1420.75	725.0	2473.0	-1151.4208204613842	0.08712594923913938	1.0	0.001996007984031936	0.003992015968063872
047 Sncg Gaba	1126	108.9911190053286	61.0	500	1012.602	972.0	836.75	1147.0	642.0	2270.0	-903.6108809946713	0.10763470643483679	1.0	0.001996007984031936	0.005988023952095809
048 RHP-COA Ndnf Gaba	22	169.63636363636363	121.5	500	599.796	597.5	521.5	674.25	284.0	842.0	-430.1596363636364	0.28282343269438875	1.0	0.001996007984031936	0.001996007984031936
049 Lamp5 Gaba	1913	109.92681651855725	66.0	500	1189.62	1125.5	1001.0	1316.75	777.0	2397.0	-1079.6931834814427	0.09240498353974988	1.0	0.001996007984031936	0.005988023952095809
050 Lamp5 Lhx6 Gaba	313	147.17571884984025	104.0	500	797.388	764.0	678.5	894.25	497.0	1527.0	-650.2122811501598	0.1845722770468583	1.0	0.001996007984031936	0.005988023952095809
051 Pvalb chandelier Gaba	511	121.77690802348337	94.0	500	668.466	652.0	579.0	729.25	474.0	1164.0	-546.6890919765167	0.18217367528562914	1.0	0.001996007984031936	0.001996007984031936
052 Pvalb Gaba	2126	154.7873941674506	98.0	500	1893.424	1789.5	1526.0	2191.25	1013.0	4509.0	-1738.6366058325493	0.08174999058185098	1.0	0.001996007984031936	0.007984031936127744
053 Sst Gaba	2026	136.92053307008885	87.0	500	1663.176	1572.0	1339.0	1886.5	981.0	3929.0	-1526.255466929911	0.08232474077914115	1.0	0.001996007984031936	0.011976047904191617
054 STR Prox1 Lhx6 Gaba	7	369.42857142857144	161.0	500	806.968	777.0	691.5	849.0	449.0	1523.0	-437.5394285714285	0.4577982911696269	1.0	0.001996007984031936	0.05389221556886228
055 STR Lhx8 Gaba	2	289.0	289.0	500	343.492	365.0	309.0	401.0	27.0	491.0	-54.49200000000002	0.8413587507132626	0.7884231536926147	0.21756487025948104	0.48303393213572854
056 Sst Chodl Gaba	520	146.12884615384615	105.0	500	959.59	913.5	784.75	1072.0	582.0	2017.0	-813.4611538461538	0.1522825854311176	1.0	0.001996007984031936	0.011976047904191617
057 NDB-SI-MA-STRv Lhx8 Gaba	2	250.5	250.5	500	257.378	240.0	204.75	272.0	45.0	711.0	-6.877999999999986	0.9732766592327239	0.4031936127744511	0.5988023952095808	0.8822355289421158
058 PAL-STR Gaba-Chol	1	6.0	6.0	271	7.763837638376383	8.0	6.0	10.0	4.0	14.0	-1.7638376383763834	0.7728136882129278	0.8455882352941176	0.3860294117647059	0.6801470588235294
060 OT D3 Folh1 Gaba	1	108.0	108.0	500	197.39	183.0	156.0	254.0	55.0	397.0	-89.38999999999999	0.5471401793403922	0.9660678642714571	0.03792415169660679	0.11776447105788423
061 STR D1 Gaba	25	145.48	130.0	500	416.384	412.0	366.75	461.25	229.0	731.0	-270.904	0.3493890255149093	1.0	0.001996007984031936	0.005988023952095809
062 STR D2 Gaba	27	142.11111111111111	98.0	500	577.504	579.0	469.75	683.0	272.0	962.0	-435.39288888888893	0.24607814164250136	1.0	0.001996007984031936	0.001996007984031936
063 STR D1 Sema5a Gaba	22	192.3181818181818	121.0	500	586.418	562.0	502.0	661.5	337.0	914.0	-394.0998181818182	0.3279540904579699	1.0	0.001996007984031936	0.001996007984031936
064 STR-PAL Chst9 Gaba	82	151.84146341463415	133.0	500	559.244	526.5	481.0	598.0	353.0	1313.0	-407.40253658536585	0.2715120115989338	1.0	0.001996007984031936	0.023952095808383235
065 IA Mgp Gaba	10	120.3	114.5	500	452.498	465.0	403.75	505.0	244.0	589.0	-332.198	0.26585752865206036	1.0	0.001996007984031936	0.001996007984031936
066 NDB-SI-ant Prdm12 Gaba	8	103.125	114.0	500	450.456	444.0	418.0	487.0	214.0	622.0	-347.331	0.22893467952474825	1.0	0.001996007984031936	0.001996007984031936
070 LSX Prdm12 Slit2 Gaba	1	378.0	378.0	500	653.486	679.5	539.75	789.5	168.0	1003.0	-275.486	0.5784362633629488	0.9341317365269461	0.0718562874251497	0.09780439121756487
071 LSX Prdm12 Zeb2 Gaba	1	297.0	297.0	416	275.75240384615387	285.0	234.75	319.25	126.0	437.0	21.247596153846132	1.077053167470121	0.4316546762589928	0.5779376498800959	0.7242206235011991
072 LSX Sall3 Lmo1 Gaba	1	112.0	112.0	411	170.3065693430657	174.0	142.5	193.0	78.0	289.0	-58.30656934306569	0.6576375792902451	0.8907766990291263	0.11165048543689321	0.1941747572815534
073 MEA-BST Sox6 Gaba	2	66.5	66.5	500	124.208	127.5	103.75	141.25	58.0	196.0	-57.708	0.5353922452660054	0.9900199600798403	0.011976047904191617	0.027944111776447105
074 MEA-BST Lhx6 Sp9 Gaba	2	88.0	88.0	497	226.3682092555332	256.0	168.0	290.0	23.0	387.0	-138.3682092555332	0.388747166792587	0.8694779116465864	0.13253012048192772	0.14457831325301204
080 CEA-AAA-BST Six3 Sp9 Gaba	12	232.5	144.0	500	639.04	641.0	572.75	707.0	386.0	847.0	-406.53999999999996	0.36382699048572864	1.0	0.001996007984031936	0.001996007984031936
094 SCH Six6 Cdc14a Gaba	1	272.0	272.0	499	281.6553106212425	289.0	255.0	314.0	112.0	405.0	-9.655310621242506	0.9657194085922046	0.654	0.35	0.828
095 DMH Prdm13 Gaba	2	65.5	65.5	492	77.16869918699187	80.5	68.0	91.0	16.0	119.0	-11.668699186991873	0.8487897384570812	0.7829614604462475	0.21906693711967545	0.5050709939148073
097 PVHd-SBPV Six3 Prox1 Gaba	2	201.5	201.5	500	274.02	270.0	238.0	316.0	146.0	413.0	-72.51999999999998	0.7353477848332239	0.908183632734531	0.09381237524950099	0.1996007984031936
