slide	subclass	layer	true_file_count	random_sample_n	true_region_num	region_num_p_one_sided_true_gt	region_num_p_one_sided_true_lt	region_num_p_two_sided	true_glut_num	glut_num_p_one_sided_true_gt	glut_num_p_one_sided_true_lt	glut_num_p_two_sided	true_gaba_num	gaba_num_p_one_sided_true_gt	gaba_num_p_one_sided_true_lt	gaba_num_p_two_sided	true_ei_ratio	ei_ratio_p_one_sided_true_gt	ei_ratio_p_one_sided_true_lt	ei_ratio_p_two_sided
C57BL6J-1.027	333 Endo NN	layer 2/3	1	490	2.000000	0.411405	0.98167	0.411405	79.000000	0.580448	0.427699	0.739308	11.000000	0.639511	0.405295	0.690428	7.181818	0.368313	0.633745	0.90535
C57BL6J-1.027	334 Microglia NN	layer 1	1	499	1.000000	1	0.082	0.1	2.000000	0.976	0.046	0.146	6.000000	0.18	0.854	0.348	0.333333	0.995992	0.00601202	0.0480962
C57BL6J-1.027	335 BAM NN	layer 1	1	455	2.000000	0.368421	0.980263	0.368421	1.500000	0.789474	0.239035	0.445175	3.500000	0.405702	0.629386	1	0.428571	0.928934	0.0736041	0.187817
C57BL6J-1.028	006 L4/5 IT CTX Glut	layer 2/3	1	499	1.000000	1	0.328	0.522	540.000000	0.002	1	0.002	66.000000	0.004	0.998	0.004	8.181818	0.632	0.37	0.618
C57BL6J-1.028	007 L2/3 IT CTX Glut	layer 1	1	500	1.000000	1	0.00798403	0.011976	307.000000	0.00199601	1	0.00199601	70.000000	0.00199601	1	0.00199601	4.385714	0.988024	0.0139721	0.0978044
C57BL6J-1.028	007 L2/3 IT CTX Glut	layer 2/3	1	500	1.000000	1	0.301397	0.497006	541.000000	0.00598802	0.996008	0.00598802	70.000000	0.00199601	1	0.00199601	7.728571	0.908184	0.0938124	0.201597
C57BL6J-1.028	046 Vip Gaba	layer 1	1	500	4.000000	0.153693	0.982036	0.271457	28.750000	0.349301	0.652695	0.9002	6.500000	0.636727	0.393214	0.644711	4.050000	0.0918164	0.91018	0.157685
C57BL6J-1.028	046 Vip Gaba	layer 2/3	1	497	3.000000	0.0843373	0.987952	0.0843373	36.000000	0.963855	0.0381526	0.164659	7.333333	0.953815	0.0481928	0.188755	2.800000	0.987952	0.0140562	0.0140562
C57BL6J-1.028	047 Sncg Gaba	layer 1	1	495	2.000000	0.810484	0.633065	1	40.000000	0.153226	0.862903	0.3125	8.000000	0.372984	0.683468	0.957661	3.333333	0.431452	0.570565	0.919355
C57BL6J-1.028	047 Sncg Gaba	layer 2/3	1	450	1.000000	1	0.780488	1	142.000000	0.527716	0.481153	0.904656	21.000000	0.478936	0.547672	0.995565	6.761905	0.607539	0.394678	0.751663
C57BL6J-1.028	049 Lamp5 Gaba	layer 1	1	500	3.000000	0.576846	0.834331	1	36.000000	0.291417	0.718563	0.734531	12.000000	0.313373	0.704591	0.800399	2.125000	0.952096	0.0518962	0.127745
C57BL6J-1.028	049 Lamp5 Gaba	layer 2/3	1	475	1.000000	1	0.590336	1	173.000000	0.365546	0.636555	0.865546	20.000000	0.497899	0.521008	0.905462	8.650000	0.0882353	0.913866	0.168067
C57BL6J-1.028	051 Pvalb chandelier Gaba	layer 1	1	488	3.000000	0.132924	0.99182	0.132924	32.000000	0.292434	0.723926	0.678937	7.000000	0.456033	0.586912	0.99591	4.166667	0.216769	0.785276	0.482618
C57BL6J-1.028	051 Pvalb chandelier Gaba	layer 2/3	1	317	1.000000	1	0.981132	1	17.000000	0.974843	0.0408805	0.194969	3.000000	0.924528	0.185535	0.380503	5.666667	0.795597	0.207547	0.349057
C57BL6J-1.028	052 Pvalb Gaba	layer 1	1	482	2.000000	0.645963	0.869565	1	60.000000	0.0496894	0.952381	0.0496894	8.000000	0.414079	0.648033	0.906832	5.571429	0.0600414	0.942029	0.0910973
C57BL6J-1.028	052 Pvalb Gaba	layer 2/3	1	493	1.000000	1	0.477733	0.578947	284.000000	0.107287	0.898785	0.123482	41.000000	0.123482	0.890688	0.1417	6.926829	0.346154	0.65587	0.692308
C57BL6J-1.028	053 Sst Gaba	layer 1	1	495	1.000000	1	0.235887	0.284274	81.000000	0.016129	0.987903	0.016129	20.000000	0.0322581	0.979839	0.0322581	4.050000	0.207661	0.794355	0.421371
C57BL6J-1.028	053 Sst Gaba	layer 2/3	1	495	1.000000	1	0.491935	0.576613	235.000000	0.177419	0.828629	0.330645	33.000000	0.197581	0.8125	0.377016	7.121212	0.302419	0.699597	0.602823
C57BL6J-1.028	319 Astro-TE NN	layer 1	1	500	4.000000	0.61477	0.716567	1	16.000000	0.860279	0.145709	0.281437	5.250000	0.586826	0.427146	0.704591	3.692593	0.794411	0.207585	0.393214
C57BL6J-1.028	319 Astro-TE NN	layer 2/3	1	500	2.000000	0.692615	0.818363	1	195.000000	0.291417	0.710579	0.794411	26.000000	0.277445	0.744511	0.714571	7.526144	0.646	0.356	0.644
