slide	subclass	layer	true_region_num	true_file_count	random_sample_n	true_gt_random_count	true_gt_random_ratio	perm_p_value_one_sided
C57BL6J-1.033	337 DC NN	layer 1	1.000000	1	493	0	0.000000	1
C57BL6J-1.033	338 Lymphoid NN	layer 1	1.000000	1	494	0	0.000000	1
C57BL6J-1.033	338 Lymphoid NN	layer 2/3	1.000000	1	476	0	0.000000	1
C57BL6J-1.034	001 CLA-EPd-CTX Car3 Glut	layer 2/3	1.000000	1	478	0	0.000000	1
C57BL6J-1.034	001 CLA-EPd-CTX Car3 Glut	layer 5	1.000000	1	318	0	0.000000	1
C57BL6J-1.034	002 IT EP-CLA Glut	layer 5	1.000000	1	393	0	0.000000	1
C57BL6J-1.034	004 L6 IT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	005 L5 IT CTX Glut	layer 2/3	1.000000	1	461	0	0.000000	1
C57BL6J-1.034	005 L5 IT CTX Glut	layer 5	2.000000	1	498	91	0.182731	0.817635
C57BL6J-1.034	006 L4/5 IT CTX Glut	layer 2/3	2.000000	1	500	0	0.000000	1
C57BL6J-1.034	006 L4/5 IT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	007 L2/3 IT CTX Glut	layer 1	3.000000	1	500	13	0.026000	0.974052
C57BL6J-1.034	007 L2/3 IT CTX Glut	layer 2/3	3.000000	1	500	3	0.006000	0.994012
C57BL6J-1.034	007 L2/3 IT CTX Glut	layer 5	2.000000	1	500	51	0.102000	0.898204
C57BL6J-1.034	022 L5 ET CTX Glut	layer 2/3	1.000000	1	475	0	0.000000	1
C57BL6J-1.034	022 L5 ET CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	030 L6 CT CTX Glut	layer 5	1.000000	1	499	0	0.000000	1
C57BL6J-1.034	031 CT SUB Glut	layer 1	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	032 L5 NP CTX Glut	layer 2/3	1.000000	1	451	0	0.000000	1
C57BL6J-1.034	032 L5 NP CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	036 HPF CR Glut	layer 1	1.000000	1	491	0	0.000000	1
C57BL6J-1.034	042 OB-out Frmd7 Gaba	layer 1	1.000000	1	500	0	0.000000	1
C57BL6J-1.034	046 Vip Gaba	layer 1	2.000000	1	499	20	0.040080	0.96
C57BL6J-1.034	046 Vip Gaba	layer 2/3	2.000000	1	500	6	0.012000	0.988024
C57BL6J-1.034	046 Vip Gaba	layer 5	3.000000	1	499	279	0.559118	0.442
C57BL6J-1.034	047 Sncg Gaba	layer 1	4.000000	1	500	342	0.684000	0.317365
C57BL6J-1.034	047 Sncg Gaba	layer 2/3	3.000000	1	500	126	0.252000	0.748503
C57BL6J-1.034	047 Sncg Gaba	layer 5	1.000000	1	445	0	0.000000	1
C57BL6J-1.034	049 Lamp5 Gaba	layer 1	4.000000	1	500	286	0.572000	0.429142
C57BL6J-1.034	049 Lamp5 Gaba	layer 2/3	4.000000	1	500	198	0.396000	0.60479
C57BL6J-1.034	049 Lamp5 Gaba	layer 5	3.000000	1	496	388	0.782258	0.219316
C57BL6J-1.034	050 Lamp5 Lhx6 Gaba	layer 5	1.000000	1	394	0	0.000000	1
C57BL6J-1.034	051 Pvalb chandelier Gaba	layer 1	1.000000	1	485	0	0.000000	1
C57BL6J-1.034	051 Pvalb chandelier Gaba	layer 2/3	1.000000	1	470	0	0.000000	1
C57BL6J-1.034	052 Pvalb Gaba	layer 1	1.000000	1	499	0	0.000000	1
C57BL6J-1.034	052 Pvalb Gaba	layer 2/3	3.000000	1	500	38	0.076000	0.924152
C57BL6J-1.034	052 Pvalb Gaba	layer 5	2.000000	1	500	44	0.088000	0.912176
C57BL6J-1.034	053 Sst Gaba	layer 1	2.000000	1	484	163	0.336777	0.663918
C57BL6J-1.034	053 Sst Gaba	layer 2/3	4.000000	1	500	192	0.384000	0.616766
C57BL6J-1.034	053 Sst Gaba	layer 5	3.000000	1	500	231	0.462000	0.538922
C57BL6J-1.034	056 Sst Chodl Gaba	layer 2/3	1.000000	1	466	0	0.000000	1
