sample_label	layer	a	b	rate
C57BL6J-2.034	layer 5	2382	2382	1
C57BL6J-2.034	layer 6a	2280	2281	1.00043859649123
C57BL6J-2.034	layer 6b	171	157	0.91812865497076
C57BL6J-2.035	layer 1	689	676	0.981132075471698
C57BL6J-2.035	layer 2/3	1419	1419	1
C57BL6J-2.035	layer 4	722	722	1
C57BL6J-2.035	layer 5	1345	1346	1.00074349442379
C57BL6J-2.035	layer 6a	1397	1397	1
C57BL6J-2.035	layer 6b	103	79	0.766990291262136
C57BL6J-2.036	layer 1	1241	1241	1
C57BL6J-2.036	layer 2/3	2827	2827	1
C57BL6J-2.036	layer 4	1146	1146	1
C57BL6J-2.036	layer 5	2150	2150	1
C57BL6J-2.036	layer 6a	2215	2215	1
C57BL6J-2.036	layer 6b	216	214	0.990740740740741
C57BL6J-2.037	layer 1	860	860	1
C57BL6J-2.037	layer 2/3	1867	1867	1
C57BL6J-2.037	layer 4	685	679	0.991240875912409
C57BL6J-2.037	layer 5	1338	1338	1
C57BL6J-2.037	layer 6a	1216	1216	1
C57BL6J-2.037	layer 6b	161	156	0.968944099378882
C57BL6J-2.039	layer 1	1302	1302	1
C57BL6J-2.039	layer 2/3	2790	2790	1
C57BL6J-2.039	layer 4	940	940	1
C57BL6J-2.039	layer 5	1822	1822	1
C57BL6J-2.039	layer 6a	1581	1581	1
C57BL6J-2.039	layer 6b	250	248	0.992
C57BL6J-2.040	layer 1	577	565	0.979202772963605
C57BL6J-2.040	layer 2/3	1492	1492	1
C57BL6J-2.040	layer 4	461	461	1
C57BL6J-2.040	layer 5	1150	1148	0.998260869565217
C57BL6J-2.040	layer 6a	836	837	1.0011961722488
C57BL6J-2.040	layer 6b	130	106	0.815384615384615
C57BL6J-2.041	layer 1	940	940	1
C57BL6J-2.041	layer 2/3	2604	2604	1
C57BL6J-2.041	layer 4	616	616	1
C57BL6J-2.041	layer 5	1649	1649	1
C57BL6J-2.041	layer 6a	1017	1017	1
C57BL6J-2.041	layer 6b	157	143	0.910828025477707
C57BL6J-2.042	layer 1	563	555	0.985790408525755
C57BL6J-2.042	layer 2/3	1421	1422	1.00070372976777
C57BL6J-2.042	layer 4	354	350	0.988700564971751
C57BL6J-2.042	layer 5	1176	1176	1
C57BL6J-2.042	layer 6a	745	744	0.998657718120805
C57BL6J-2.042	layer 6b	120	94	0.783333333333333
C57BL6J-2.044	layer 1	1108	1104	0.996389891696751
C57BL6J-2.044	layer 2/3	2436	2436	1
C57BL6J-2.044	layer 4	657	657	1
C57BL6J-2.044	layer 5	2023	2024	1.00049431537321
C57BL6J-2.044	layer 6a	1210	1210	1
C57BL6J-2.044	layer 6b	195	189	0.969230769230769
C57BL6J-2.045	layer 1	1292	1292	1
C57BL6J-2.045	layer 2/3	2250	2250	1
C57BL6J-2.045	layer 4	616	615	0.998376623376623
C57BL6J-2.045	layer 5	2011	2011	1
C57BL6J-2.045	layer 6a	1229	1229	1
C57BL6J-2.045	layer 6b	191	174	0.910994764397906
C57BL6J-2.046	layer 1	606	606	1
C57BL6J-2.046	layer 2/3	1314	1314	1
C57BL6J-2.046	layer 4	381	381	1
C57BL6J-2.046	layer 5	1154	1155	1.00086655112652
C57BL6J-2.046	layer 6a	680	680	1
C57BL6J-2.046	layer 6b	89	74	0.831460674157303
C57BL6J-2.047	layer 1	1236	1236	1
C57BL6J-2.047	layer 2/3	2358	2358	1
C57BL6J-2.047	layer 4	666	666	1
C57BL6J-2.047	layer 5	1684	1685	1.00059382422803
C57BL6J-2.047	layer 6a	899	899	1
C57BL6J-2.047	layer 6b	157	154	0.980891719745223
C57BL6J-2.048	layer 1	575	575	1
C57BL6J-2.048	layer 2/3	630	630	1
C57BL6J-2.048	layer 4	322	322	1
C57BL6J-2.048	layer 5	808	808	1
C57BL6J-2.048	layer 6a	507	507	1
C57BL6J-2.048	layer 6b	81	60	0.740740740740741
C57BL6J-2.049	layer 1	724	722	0.997237569060773
C57BL6J-2.049	layer 2/3	1405	1406	1.00071174377224
C57BL6J-2.049	layer 4	567	567	1
C57BL6J-2.049	layer 5	1441	1441	1
C57BL6J-2.049	layer 6a	876	876	1
C57BL6J-2.049	layer 6b	110	103	0.936363636363636
C57BL6J-2.050	layer 1	592	592	1
C57BL6J-2.050	layer 2/3	1468	1468	1
C57BL6J-2.050	layer 4	552	552	1
C57BL6J-2.050	layer 5	1386	1386	1
C57BL6J-2.050	layer 6a	924	924	1
C57BL6J-2.050	layer 6b	103	104	1.00970873786408
C57BL6J-2.051	layer 1	411	411	1
C57BL6J-2.051	layer 2/3	780	781	1.00128205128205
C57BL6J-2.051	layer 4	250	250	1
C57BL6J-2.051	layer 5	572	572	1
C57BL6J-2.051	layer 6a	502	502	1
C57BL6J-2.051	layer 6b	21	2	0.0952380952380952
C57BL6J-2.052	layer 1	338	338	1
C57BL6J-2.052	layer 2/3	850	850	1
C57BL6J-2.052	layer 4	297	298	1.003367003367
C57BL6J-2.052	layer 5	881	881	1
C57BL6J-2.052	layer 6a	430	430	1
C57BL6J-2.053	layer 1	380	381	1.00263157894737
C57BL6J-2.053	layer 2/3	472	472	1
C57BL6J-2.053	layer 4	123	123	1
C57BL6J-2.053	layer 5	309	309	1
C57BL6J-2.054	layer 1	669	670	1.00149476831091
C57BL6J-2.054	layer 2/3	979	979	1
C57BL6J-2.054	layer 4	3	0	0
C57BL6J-2.054	layer 5	111	102	0.918918918918919
C57BL6J-2.055	layer 1	369	370	1.00271002710027
C57BL6J-3.001	layer 1	2528	2528	1
C57BL6J-3.001	layer 2/3	5445	5446	1.00018365472911
C57BL6J-3.001	layer 5	7837	7837	1
C57BL6J-3.002	layer 1	1983	1983	1
C57BL6J-3.002	layer 2/3	3656	3657	1.00027352297593
C57BL6J-3.002	layer 5	10602	10602	1
C57BL6J-3.002	layer 6a	65	20	0.307692307692308
C57BL6J-3.003	layer 1	1383	1383	1
C57BL6J-3.003	layer 2/3	3197	3198	1.00031279324367
C57BL6J-3.003	layer 5	6664	6664	1
C57BL6J-3.003	layer 6a	4922	4922	1
C57BL6J-3.003	layer 6b	275	275	1
C57BL6J-3.004	layer 1	1273	1273	1
C57BL6J-3.004	layer 2/3	3011	3011	1
C57BL6J-3.004	layer 5	4061	4062	1.0002462447673
C57BL6J-3.004	layer 6a	5282	5282	1
C57BL6J-3.004	layer 6b	332	324	0.975903614457831
C57BL6J-3.005	layer 1	1194	1194	1
C57BL6J-3.005	layer 2/3	3068	3068	1
C57BL6J-3.005	layer 5	3570	3571	1.00028011204482
C57BL6J-3.005	layer 6a	3574	3574	1
C57BL6J-3.005	layer 6b	263	257	0.977186311787072
C57BL6J-3.006	layer 1	1155	1155	1
C57BL6J-3.006	layer 2/3	2809	2809	1
C57BL6J-3.006	layer 4	45	11	0.244444444444444
C57BL6J-3.006	layer 5	3177	3178	1.00031476235442
C57BL6J-3.006	layer 6a	2342	2342	1
C57BL6J-3.006	layer 6b	202	192	0.95049504950495
C57BL6J-3.007	layer 1	1295	1295	1
C57BL6J-3.007	layer 2/3	3346	3346	1
C57BL6J-3.007	layer 4	409	401	0.980440097799511
C57BL6J-3.007	layer 5	4113	4114	1.00024313153416
C57BL6J-3.007	layer 6a	2960	2960	1
C57BL6J-3.007	layer 6b	277	228	0.823104693140794
C57BL6J-3.008	layer 1	1142	1142	1
C57BL6J-3.008	layer 2/3	2863	2863	1
C57BL6J-3.008	layer 4	642	638	0.993769470404984
C57BL6J-3.008	layer 5	3012	3013	1.00033200531208
C57BL6J-3.008	layer 6a	2424	2424	1
C57BL6J-3.008	layer 6b	213	207	0.971830985915493
C57BL6J-3.009	layer 1	949	943	0.993677555321391
C57BL6J-3.009	layer 2/3	2950	2936	0.995254237288136
C57BL6J-3.009	layer 4	909	872	0.959295929592959
C57BL6J-3.009	layer 5	2765	2765	1
C57BL6J-3.009	layer 6a	2690	2691	1.0003717472119
C57BL6J-3.009	layer 6b	242	229	0.946280991735537
C57BL6J-3.010	layer 1	970	970	1
C57BL6J-3.010	layer 2/3	3243	3243	1
C57BL6J-3.010	layer 4	1051	1051	1
C57BL6J-3.010	layer 5	3005	3005	1
C57BL6J-3.010	layer 6a	2591	2592	1.00038595137013
C57BL6J-3.010	layer 6b	222	203	0.914414414414414
C57BL6J-3.011	layer 1	984	983	0.998983739837398
C57BL6J-3.011	layer 2/3	3803	3803	1
C57BL6J-3.011	layer 4	1284	1278	0.995327102803738
C57BL6J-3.011	layer 5	3144	3145	1.00031806615776
C57BL6J-3.011	layer 6a	2654	2654	1
C57BL6J-3.011	layer 6b	275	275	1
C57BL6J-3.012	layer 1	1078	1073	0.995361781076067
C57BL6J-3.012	layer 2/3	3772	3772	1
C57BL6J-3.012	layer 4	1552	1546	0.996134020618557
C57BL6J-3.012	layer 5	2861	2861	1
C57BL6J-3.012	layer 6a	2630	2630	1
C57BL6J-3.012	layer 6b	247	247	1
C57BL6J-3.013	layer 1	1249	1247	0.99839871897518
C57BL6J-3.013	layer 2/3	3990	3975	0.996240601503759
C57BL6J-3.013	layer 4	2039	2040	1.00049043648847
C57BL6J-3.013	layer 5	2845	2845	1
C57BL6J-3.013	layer 6a	2905	2905	1
C57BL6J-3.013	layer 6b	285	276	0.968421052631579
C57BL6J-3.015	layer 1	1217	1217	1
C57BL6J-3.015	layer 2/3	3315	3315	1
C57BL6J-3.015	layer 4	2138	2138	1
C57BL6J-3.015	layer 5	2508	2508	1
C57BL6J-3.015	layer 6a	3413	3414	1.00029299736302
C57BL6J-3.015	layer 6b	281	261	0.928825622775801
C57BL6J-3.016	layer 1	1211	1211	1
C57BL6J-3.016	layer 2/3	3209	3209	1
C57BL6J-3.016	layer 4	2544	2544	1
C57BL6J-3.016	layer 5	2774	2775	1.00036049026676
C57BL6J-3.016	layer 6a	3719	3719	1
C57BL6J-3.016	layer 6b	382	359	0.93979057591623
C57BL6J-3.017	layer 1	1145	1143	0.99825327510917
C57BL6J-3.017	layer 2/3	3494	3494	1
C57BL6J-3.017	layer 4	2786	2786	1
C57BL6J-3.017	layer 5	2907	2907	1
C57BL6J-3.017	layer 6a	3573	3573	1
C57BL6J-3.017	layer 6b	330	323	0.978787878787879
C57BL6J-3.019	layer 1	1305	1305	1
C57BL6J-3.019	layer 2/3	3649	3649	1
C57BL6J-3.019	layer 4	2879	2879	1
C57BL6J-3.019	layer 5	2908	2908	1
C57BL6J-3.019	layer 6a	3075	3075	1
C57BL6J-3.019	layer 6b	304	305	1.00328947368421
C57BL6J-3.020	layer 1	1368	1368	1
C57BL6J-3.020	layer 2/3	4224	4224	1
C57BL6J-3.020	layer 4	2883	2883	1
C57BL6J-3.020	layer 5	3955	3955	1
C57BL6J-3.020	layer 6a	4571	4572	1.00021877050974
C57BL6J-3.020	layer 6b	941	941	1
C57BL6J-3.021	layer 1	1468	1468	1
C57BL6J-3.021	layer 2/3	4454	4454	1
C57BL6J-3.021	layer 4	2105	2106	1.00047505938242
C57BL6J-3.021	layer 5	4013	4013	1
C57BL6J-3.021	layer 6a	4060	4060	1
C57BL6J-3.021	layer 6b	178	173	0.971910112359551
C57BL6J-3.022	layer 1	1093	1094	1.00091491308326
C57BL6J-3.022	layer 2/3	3704	3704	1
C57BL6J-3.022	layer 4	1489	1489	1
C57BL6J-3.022	layer 5	4374	4374	1
C57BL6J-3.022	layer 6a	1159	1159	1
C57BL6J-3.022	layer 6b	86	86	1
C57BL6J-3.023	layer 1	1409	1409	1
C57BL6J-3.023	layer 2/3	3853	3853	1
C57BL6J-3.023	layer 4	1310	1310	1
C57BL6J-3.023	layer 5	3606	3606	1
C57BL6J-3.023	layer 6a	426	427	1.00234741784038
C57BL6J-3.024	layer 1	1879	1880	1.00053219797765
C57BL6J-3.024	layer 2/3	4401	4401	1
C57BL6J-3.024	layer 4	1345	1345	1
C57BL6J-3.024	layer 5	1495	1495	1
C57BL6J-4.001	layer 1	1076	1076	1
C57BL6J-4.001	layer 2/3	3564	3564	1
C57BL6J-4.001	layer 4	2260	2261	1.00044247787611
C57BL6J-4.001	layer 5	2750	2750	1
C57BL6J-4.001	layer 6a	3102	3102	1
C57BL6J-4.001	layer 6b	532	532	1
C57BL6J-4.002	layer 1	1188	1188	1
C57BL6J-4.002	layer 2/3	3686	3686	1
C57BL6J-4.002	layer 4	3080	3080	1
C57BL6J-4.002	layer 5	2878	2879	1.00034746351633
C57BL6J-4.002	layer 6a	3230	3230	1
C57BL6J-4.002	layer 6b	348	348	1
C57BL6J-4.003	layer 1	1454	1454	1
C57BL6J-4.003	layer 2/3	3337	3337	1
C57BL6J-4.003	layer 4	1755	1751	0.997720797720798
C57BL6J-4.003	layer 5	2291	2291	1
C57BL6J-4.003	layer 6a	2908	2909	1.00034387895461
C57BL6J-4.003	layer 6b	312	312	1
