pair_type,0–20%,20–40%,40–60%,60–80%,80–100%
GABA-GABA,34.722222,9.722222,23.611111,11.111111,20.833333
GABA-Glut,57.500000,5.000000,10.000000,5.000000,22.500000
Glut-GABA,50.000000,10.000000,10.000000,10.000000,20.000000
Glut-Glut,83.333333,8.333333,0.000000,8.333333,0.000000
