metric	true_total	random_total_mean	random_total_min	random_total_max	sample_n	p_one_sided_true_gt	p_one_sided_true_lt	p_two_sided
region_num	41016.000000	46682.264000	46367.000000	47085.000000	500	1	0.00199601	0.00199601
glut_num	1488127.581366	972570.889858	958847.329579	986184.169739	500	0.00199601	1	0.00199601
gaba_num	244806.208899	156213.666545	153732.999981	158226.908922	500	0.00199601	1	0.00199601
