chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.43588726165222	2.89598666385658	5.83588726165222	3.29598666385658	layer 1_5.43588726165222_2.89598666385658	0.0403959604039596
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.4298375736169	2.91598666385658	5.8298375736169	3.31598666385658	layer 1_5.4298375736169_2.91598666385658	0.0434956504349565
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.4298375736169	2.93598666385658	5.8298375736169	3.33598666385658	layer 1_5.4298375736169_2.93598666385658	0.0355964403559644
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.4298375736169	2.95598666385658	5.8298375736169	3.35598666385658	layer 1_5.4298375736169_2.95598666385658	0.0217978202179782
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.4298375736169	2.97598666385658	5.8298375736169	3.37598666385658	layer 1_5.4298375736169_2.97598666385658	0.01999800019998
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.42509204836178	2.99598666385658	5.82509204836178	3.39598666385658	layer 1_5.42509204836178_2.99598666385658	0.0231976802319768
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.44509204836178	2.99598666385658	5.84509204836178	3.39598666385658	layer 1_5.44509204836178_2.99598666385658	0.0170982901709829
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.42509204836178	3.01598666385658	5.82509204836178	3.41598666385658	layer 1_5.42509204836178_3.01598666385658	0.0231976802319768
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.44509204836178	3.01598666385658	5.84509204836178	3.41598666385658	layer 1_5.44509204836178_3.01598666385658	0.0170982901709829
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.42509204836178	3.03598666385658	5.82509204836178	3.43598666385658	layer 1_5.42509204836178_3.03598666385658	0.0231976802319768
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.44509204836178	3.03598666385658	5.84509204836178	3.43598666385658	layer 1_5.44509204836178_3.03598666385658	0.0170982901709829
C57BL6J-1.026	sample_2	layer 1	327 Oligo NN	regions_1	5.42509204836178	3.05598666385658	5.82509204836178	3.45598666385658	layer 1_5.42509204836178_3.05598666385658	0.0203979602039796
