chip	sample	layer	subclass	merge_regions	xstart	ystart	xend	yend	loc_1	p
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_1	3.78518349795043	2.58217100283504	4.18518349795043	2.98217100283504	layer 1_3.78518349795043_2.58217100283504	0.047995200479952
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_1	3.80518349795043	2.58217100283504	4.20518349795043	2.98217100283504	layer 1_3.80518349795043_2.58217100283504	0.0290970902909709
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.56757100126147	3.18217100283504	4.96757100126147	3.58217100283504	layer 1_4.56757100126147_3.18217100283504	0.0475952404759524
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.32757100126147	3.30217100283504	4.72757100126147	3.70217100283504	layer 1_4.32757100126147_3.30217100283504	0.037996200379962
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.34757100126147	3.30217100283504	4.74757100126147	3.70217100283504	layer 1_4.34757100126147_3.30217100283504	0.0344965503449655
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.36757100126147	3.30217100283504	4.76757100126147	3.70217100283504	layer 1_4.36757100126147_3.30217100283504	0.0344965503449655
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.38757100126147	3.30217100283504	4.78757100126147	3.70217100283504	layer 1_4.38757100126147_3.30217100283504	0.0376962303769623
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.40757100126147	3.30217100283504	4.80757100126147	3.70217100283504	layer 1_4.40757100126147_3.30217100283504	0.0318968103189681
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.42757100126147	3.30217100283504	4.82757100126147	3.70217100283504	layer 1_4.42757100126147_3.30217100283504	0.0353964603539646
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.44757100126147	3.30217100283504	4.84757100126147	3.70217100283504	layer 1_4.44757100126147_3.30217100283504	0.0392960703929607
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.46757100126147	3.30217100283504	4.86757100126147	3.70217100283504	layer 1_4.46757100126147_3.30217100283504	0.0392960703929607
C57BL6J-1.029	sample_2	layer 1	331 Peri NN	regions_2	4.48757100126147	3.30217100283504	4.88757100126147	3.70217100283504	layer 1_4.48757100126147_3.30217100283504	0.0465953404659534
