brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.039	Agranular insular area	layer 1	0	5	5	0	1
C57BL6J-1.039	Agranular insular area	layer 2/3	105	17	122	0.860655737704918	0.139344262295082
C57BL6J-1.039	Agranular insular area	layer 5	58	23	81	0.716049382716049	0.283950617283951
C57BL6J-1.039	Agranular insular area	layer 6a	36	6	42	0.857142857142857	0.142857142857143
C57BL6J-1.039	Anterior cingulate area	layer 1	11	0	11	1	0
C57BL6J-1.039	Anterior cingulate area	layer 2/3	31	2	33	0.939393939393939	0.0606060606060606
C57BL6J-1.039	Anterior cingulate area	layer 5	24	4	28	0.857142857142857	0.142857142857143
C57BL6J-1.039	Anterior cingulate area	layer 6a	2	0	2	1	0
C57BL6J-1.039	Frontal pole	layer 6a	39	4	43	0.906976744186046	0.0930232558139535
C57BL6J-1.039	Infralimbic area	layer 1	4	2	6	0.666666666666667	0.333333333333333
C57BL6J-1.039	Infralimbic area	layer 2/3	24	1	25	0.96	0.04
C57BL6J-1.039	Infralimbic area	layer 5	2	1	3	0.666666666666667	0.333333333333333
C57BL6J-1.039	Orbital area	layer 1	20	9	29	0.689655172413793	0.310344827586207
C57BL6J-1.039	Orbital area	layer 2/3	249	41	290	0.858620689655172	0.141379310344828
C57BL6J-1.039	Orbital area	layer 5	319	78	397	0.80352644836272	0.19647355163728
C57BL6J-1.039	Orbital area	layer 6a	220	32	252	0.873015873015873	0.126984126984127
C57BL6J-1.039	Prelimbic area	layer 1	3	4	7	0.428571428571429	0.571428571428571
C57BL6J-1.039	Prelimbic area	layer 2/3	76	14	90	0.844444444444444	0.155555555555556
C57BL6J-1.039	Prelimbic area	layer 5	69	15	84	0.821428571428571	0.178571428571429
C57BL6J-1.039	Prelimbic area	layer 6a	72	13	85	0.847058823529412	0.152941176470588
C57BL6J-1.039	Secondary motor area	layer 1	93	20	113	0.823008849557522	0.176991150442478
C57BL6J-1.039	Secondary motor area	layer 2/3	356	66	422	0.843601895734597	0.156398104265403
C57BL6J-1.039	Secondary motor area	layer 5	304	85	389	0.781491002570694	0.218508997429306
C57BL6J-1.039	Secondary motor area	layer 6a	147	15	162	0.907407407407407	0.0925925925925926
