brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-2.033	Agranular insular area	layer 1	7	2	9	0.777777777777778	0.222222222222222
C57BL6J-2.033	Agranular insular area	layer 2/3	59	16	75	0.786666666666667	0.213333333333333
C57BL6J-2.033	Agranular insular area	layer 5	25	9	34	0.735294117647059	0.264705882352941
C57BL6J-2.033	Agranular insular area	layer 6a	38	6	44	0.863636363636364	0.136363636363636
C57BL6J-2.033	Agranular insular area	layer 6b	1	0	1	1	0
C57BL6J-2.033	Anterior cingulate area	layer 1	17	1	18	0.944444444444444	0.0555555555555556
C57BL6J-2.033	Anterior cingulate area	layer 2/3	108	13	121	0.892561983471074	0.107438016528926
C57BL6J-2.033	Anterior cingulate area	layer 5	75	13	88	0.852272727272727	0.147727272727273
C57BL6J-2.033	Anterior cingulate area	layer 6a	52	7	59	0.88135593220339	0.11864406779661
C57BL6J-2.033	Anterior cingulate area	layer 6b	5	0	5	1	0
C57BL6J-2.033	Primary somatosensory area	layer 1	73	13	86	0.848837209302326	0.151162790697674
C57BL6J-2.033	Primary somatosensory area	layer 2/3	556	54	610	0.911475409836066	0.0885245901639344
C57BL6J-2.033	Primary somatosensory area	layer 4	360	39	399	0.902255639097744	0.0977443609022556
C57BL6J-2.033	Primary somatosensory area	layer 5	263	82	345	0.76231884057971	0.23768115942029
C57BL6J-2.033	Primary somatosensory area	layer 6a	533	65	598	0.891304347826087	0.108695652173913
C57BL6J-2.033	Primary somatosensory area	layer 6b	28	3	31	0.903225806451613	0.0967741935483871
C57BL6J-2.033	Retrosplenial area	layer 1	101	20	121	0.834710743801653	0.165289256198347
C57BL6J-2.033	Retrosplenial area	layer 2/3	119	7	126	0.944444444444444	0.0555555555555556
C57BL6J-2.033	Retrosplenial area	layer 5	31	3	34	0.911764705882353	0.0882352941176471
C57BL6J-2.033	Retrosplenial area	layer 6a	1	0	1	1	0
C57BL6J-2.033	Secondary motor area	layer 1	8	4	12	0.666666666666667	0.333333333333333
C57BL6J-2.033	Secondary motor area	layer 2/3	84	9	93	0.903225806451613	0.0967741935483871
C57BL6J-2.033	Secondary motor area	layer 5	42	9	51	0.823529411764706	0.176470588235294
C57BL6J-2.033	Secondary motor area	layer 6a	58	8	66	0.878787878787879	0.121212121212121
C57BL6J-2.033	Secondary motor area	layer 6b	3	0	3	1	0
C57BL6J-2.033	Supplemental somatosensory area	layer 1	12	8	20	0.6	0.4
C57BL6J-2.033	Supplemental somatosensory area	layer 2/3	240	15	255	0.941176470588235	0.0588235294117647
C57BL6J-2.033	Supplemental somatosensory area	layer 4	88	30	118	0.745762711864407	0.254237288135593
C57BL6J-2.033	Supplemental somatosensory area	layer 5	126	33	159	0.792452830188679	0.207547169811321
C57BL6J-2.033	Supplemental somatosensory area	layer 6a	269	27	296	0.908783783783784	0.0912162162162162
C57BL6J-2.033	Supplemental somatosensory area	layer 6b	28	3	31	0.903225806451613	0.0967741935483871
C57BL6J-2.033	Visceral area	layer 1	10	4	14	0.714285714285714	0.285714285714286
C57BL6J-2.033	Visceral area	layer 2/3	84	11	95	0.884210526315789	0.115789473684211
C57BL6J-2.033	Visceral area	layer 4	11	5	16	0.6875	0.3125
C57BL6J-2.033	Visceral area	layer 5	22	12	34	0.647058823529412	0.352941176470588
C57BL6J-2.033	Visceral area	layer 6a	51	4	55	0.927272727272727	0.0727272727272727
C57BL6J-2.033	Visceral area	layer 6b	0	1	1	0	1
