brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.063	Agranular insular area	layer 1	0	2	2	0	1
C57BL6J-1.063	Agranular insular area	layer 2/3	46	7	53	0.867924528301887	0.132075471698113
C57BL6J-1.063	Agranular insular area	layer 5	31	14	45	0.688888888888889	0.311111111111111
C57BL6J-1.063	Agranular insular area	layer 6a	31	0	31	1	0
C57BL6J-1.063	Anterior cingulate area	layer 1	26	9	35	0.742857142857143	0.257142857142857
C57BL6J-1.063	Anterior cingulate area	layer 2/3	169	13	182	0.928571428571429	0.0714285714285714
C57BL6J-1.063	Anterior cingulate area	layer 5	118	17	135	0.874074074074074	0.125925925925926
C57BL6J-1.063	Anterior cingulate area	layer 6a	77	9	86	0.895348837209302	0.104651162790698
C57BL6J-1.063	Anterior cingulate area	layer 6b	6	0	6	1	0
C57BL6J-1.063	Gustatory areas	layer 1	1	2	3	0.333333333333333	0.666666666666667
C57BL6J-1.063	Gustatory areas	layer 2/3	18	2	20	0.9	0.1
C57BL6J-1.063	Gustatory areas	layer 4	6	1	7	0.857142857142857	0.142857142857143
C57BL6J-1.063	Gustatory areas	layer 5	24	6	30	0.8	0.2
C57BL6J-1.063	Gustatory areas	layer 6a	44	2	46	0.956521739130435	0.0434782608695652
C57BL6J-1.063	Gustatory areas	layer 6b	1	0	1	1	0
C57BL6J-1.063	Primary somatosensory area	layer 1	162	32	194	0.835051546391753	0.164948453608247
C57BL6J-1.063	Primary somatosensory area	layer 2/3	620	68	688	0.901162790697674	0.0988372093023256
C57BL6J-1.063	Primary somatosensory area	layer 4	443	47	490	0.904081632653061	0.0959183673469388
C57BL6J-1.063	Primary somatosensory area	layer 5	180	65	245	0.73469387755102	0.26530612244898
C57BL6J-1.063	Primary somatosensory area	layer 6a	569	66	635	0.896062992125984	0.103937007874016
C57BL6J-1.063	Primary somatosensory area	layer 6b	34	3	37	0.918918918918919	0.0810810810810811
C57BL6J-1.063	Secondary motor area	layer 1	0	1	1	0	1
C57BL6J-1.063	Secondary motor area	layer 2/3	83	8	91	0.912087912087912	0.0879120879120879
C57BL6J-1.063	Secondary motor area	layer 5	61	9	70	0.871428571428571	0.128571428571429
C57BL6J-1.063	Secondary motor area	layer 6a	48	11	59	0.813559322033898	0.186440677966102
C57BL6J-1.063	Secondary motor area	layer 6b	2	1	3	0.666666666666667	0.333333333333333
C57BL6J-1.063	Supplemental somatosensory area	layer 1	22	9	31	0.709677419354839	0.290322580645161
C57BL6J-1.063	Supplemental somatosensory area	layer 2/3	199	26	225	0.884444444444444	0.115555555555556
C57BL6J-1.063	Supplemental somatosensory area	layer 4	90	18	108	0.833333333333333	0.166666666666667
C57BL6J-1.063	Supplemental somatosensory area	layer 5	89	23	112	0.794642857142857	0.205357142857143
C57BL6J-1.063	Supplemental somatosensory area	layer 6a	202	23	225	0.897777777777778	0.102222222222222
C57BL6J-1.063	Supplemental somatosensory area	layer 6b	17	0	17	1	0
C57BL6J-1.063	Visceral area	layer 1	0	1	1	0	1
C57BL6J-1.063	Visceral area	layer 2/3	31	1	32	0.96875	0.03125
C57BL6J-1.063	Visceral area	layer 4	8	1	9	0.888888888888889	0.111111111111111
C57BL6J-1.063	Visceral area	layer 5	21	8	29	0.724137931034483	0.275862068965517
C57BL6J-1.063	Visceral area	layer 6a	21	4	25	0.84	0.16
C57BL6J-1.063	Visceral area	layer 6b	1	0	1	1	0
