brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.052	Agranular insular area	layer 1	0	2	2	0	1
C57BL6J-1.052	Agranular insular area	layer 2/3	82	12	94	0.872340425531915	0.127659574468085
C57BL6J-1.052	Agranular insular area	layer 5	99	25	124	0.798387096774194	0.201612903225806
C57BL6J-1.052	Agranular insular area	layer 6a	118	16	134	0.880597014925373	0.119402985074627
C57BL6J-1.052	Anterior cingulate area	layer 1	49	17	66	0.742424242424242	0.257575757575758
C57BL6J-1.052	Anterior cingulate area	layer 2/3	224	24	248	0.903225806451613	0.0967741935483871
C57BL6J-1.052	Anterior cingulate area	layer 5	158	46	204	0.774509803921569	0.225490196078431
C57BL6J-1.052	Anterior cingulate area	layer 6a	145	15	160	0.90625	0.09375
C57BL6J-1.052	Anterior cingulate area	layer 6b	12	0	12	1	0
C57BL6J-1.052	Gustatory areas	layer 1	3	1	4	0.75	0.25
C57BL6J-1.052	Gustatory areas	layer 2/3	82	9	91	0.901098901098901	0.0989010989010989
C57BL6J-1.052	Gustatory areas	layer 4	31	5	36	0.861111111111111	0.138888888888889
C57BL6J-1.052	Gustatory areas	layer 5	33	14	47	0.702127659574468	0.297872340425532
C57BL6J-1.052	Gustatory areas	layer 6a	74	9	83	0.891566265060241	0.108433734939759
C57BL6J-1.052	Gustatory areas	layer 6b	4	1	5	0.8	0.2
C57BL6J-1.052	Primary somatosensory area	layer 1	23	12	35	0.657142857142857	0.342857142857143
C57BL6J-1.052	Primary somatosensory area	layer 2/3	376	42	418	0.899521531100478	0.100478468899522
C57BL6J-1.052	Primary somatosensory area	layer 4	343	23	366	0.937158469945355	0.0628415300546448
C57BL6J-1.052	Primary somatosensory area	layer 5	164	43	207	0.792270531400966	0.207729468599034
C57BL6J-1.052	Primary somatosensory area	layer 6a	213	28	241	0.883817427385892	0.116182572614108
C57BL6J-1.052	Primary somatosensory area	layer 6b	16	1	17	0.941176470588235	0.0588235294117647
C57BL6J-1.052	Secondary motor area	layer 1	1	1	2	0.5	0.5
C57BL6J-1.052	Secondary motor area	layer 2/3	166	14	180	0.922222222222222	0.0777777777777778
C57BL6J-1.052	Secondary motor area	layer 5	114	29	143	0.797202797202797	0.202797202797203
C57BL6J-1.052	Secondary motor area	layer 6a	141	30	171	0.824561403508772	0.175438596491228
C57BL6J-1.052	Secondary motor area	layer 6b	6	0	6	1	0
C57BL6J-1.052	Supplemental somatosensory area	layer 1	1	1	2	0.5	0.5
C57BL6J-1.052	Supplemental somatosensory area	layer 2/3	75	8	83	0.903614457831325	0.0963855421686747
