brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.030	Agranular insular area	layer 1	18	7	25	0.72	0.28
C57BL6J-1.030	Agranular insular area	layer 2/3	56	5	61	0.918032786885246	0.0819672131147541
C57BL6J-1.030	Frontal pole	layer 2/3	173	35	208	0.831730769230769	0.168269230769231
C57BL6J-1.030	Frontal pole	layer 5	131	31	162	0.808641975308642	0.191358024691358
C57BL6J-1.030	Orbital area	layer 1	63	25	88	0.715909090909091	0.284090909090909
C57BL6J-1.030	Orbital area	layer 2/3	256	27	283	0.904593639575972	0.0954063604240283
C57BL6J-1.030	Orbital area	layer 5	21	1	22	0.954545454545455	0.0454545454545455
C57BL6J-1.030	Prelimbic area	layer 1	30	8	38	0.789473684210526	0.210526315789474
C57BL6J-1.030	Prelimbic area	layer 2/3	119	8	127	0.937007874015748	0.062992125984252
C57BL6J-1.030	Prelimbic area	layer 5	24	2	26	0.923076923076923	0.0769230769230769
C57BL6J-1.030	Secondary motor area	layer 1	129	35	164	0.786585365853659	0.213414634146341
C57BL6J-1.030	Secondary motor area	layer 2/3	624	91	715	0.872727272727273	0.127272727272727
