brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.066	Agranular insular area	layer 1	0	2	2	0	1
C57BL6J-1.066	Agranular insular area	layer 2/3	35	10	45	0.777777777777778	0.222222222222222
C57BL6J-1.066	Agranular insular area	layer 5	20	12	32	0.625	0.375
C57BL6J-1.066	Agranular insular area	layer 6a	25	5	30	0.833333333333333	0.166666666666667
C57BL6J-1.066	Anterior cingulate area	layer 1	85	18	103	0.825242718446602	0.174757281553398
C57BL6J-1.066	Anterior cingulate area	layer 2/3	173	19	192	0.901041666666667	0.0989583333333333
C57BL6J-1.066	Anterior cingulate area	layer 5	103	23	126	0.817460317460317	0.182539682539683
C57BL6J-1.066	Anterior cingulate area	layer 6a	60	4	64	0.9375	0.0625
C57BL6J-1.066	Anterior cingulate area	layer 6b	2	1	3	0.666666666666667	0.333333333333333
C57BL6J-1.066	Gustatory areas	layer 5	2	3	5	0.4	0.6
C57BL6J-1.066	Gustatory areas	layer 6a	7	4	11	0.636363636363636	0.363636363636364
C57BL6J-1.066	Gustatory areas	layer 6b	1	0	1	1	0
C57BL6J-1.066	Primary somatosensory area	layer 1	73	22	95	0.768421052631579	0.231578947368421
C57BL6J-1.066	Primary somatosensory area	layer 2/3	612	73	685	0.893430656934307	0.106569343065693
C57BL6J-1.066	Primary somatosensory area	layer 4	503	54	557	0.903052064631957	0.0969479353680431
C57BL6J-1.066	Primary somatosensory area	layer 5	247	75	322	0.767080745341615	0.232919254658385
C57BL6J-1.066	Primary somatosensory area	layer 6a	535	77	612	0.874183006535948	0.125816993464052
C57BL6J-1.066	Primary somatosensory area	layer 6b	22	0	22	1	0
C57BL6J-1.066	Secondary motor area	layer 1	22	6	28	0.785714285714286	0.214285714285714
C57BL6J-1.066	Secondary motor area	layer 2/3	70	7	77	0.909090909090909	0.0909090909090909
C57BL6J-1.066	Secondary motor area	layer 5	33	5	38	0.868421052631579	0.131578947368421
C57BL6J-1.066	Secondary motor area	layer 6a	40	6	46	0.869565217391304	0.130434782608696
C57BL6J-1.066	Secondary motor area	layer 6b	1	0	1	1	0
C57BL6J-1.066	Supplemental somatosensory area	layer 1	27	6	33	0.818181818181818	0.181818181818182
C57BL6J-1.066	Supplemental somatosensory area	layer 2/3	223	31	254	0.877952755905512	0.122047244094488
C57BL6J-1.066	Supplemental somatosensory area	layer 4	114	15	129	0.883720930232558	0.116279069767442
C57BL6J-1.066	Supplemental somatosensory area	layer 5	125	46	171	0.730994152046784	0.269005847953216
C57BL6J-1.066	Supplemental somatosensory area	layer 6a	249	33	282	0.882978723404255	0.117021276595745
C57BL6J-1.066	Supplemental somatosensory area	layer 6b	12	21	33	0.363636363636364	0.636363636363636
C57BL6J-1.066	Visceral area	layer 1	0	3	3	0	1
C57BL6J-1.066	Visceral area	layer 2/3	61	4	65	0.938461538461538	0.0615384615384615
C57BL6J-1.066	Visceral area	layer 4	20	6	26	0.769230769230769	0.230769230769231
C57BL6J-1.066	Visceral area	layer 5	29	3	32	0.90625	0.09375
C57BL6J-1.066	Visceral area	layer 6a	48	2	50	0.96	0.04
