brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-2.023	Agranular insular area	layer 1	4	4	8	0.5	0.5
C57BL6J-2.023	Agranular insular area	layer 2/3	86	17	103	0.83495145631068	0.16504854368932
C57BL6J-2.023	Agranular insular area	layer 5	119	16	135	0.881481481481482	0.118518518518519
C57BL6J-2.023	Agranular insular area	layer 6a	130	13	143	0.909090909090909	0.0909090909090909
C57BL6J-2.023	Agranular insular area	layer 6b	8	2	10	0.8	0.2
C57BL6J-2.023	Anterior cingulate area	layer 1	111	24	135	0.822222222222222	0.177777777777778
C57BL6J-2.023	Anterior cingulate area	layer 2/3	241	19	260	0.926923076923077	0.0730769230769231
C57BL6J-2.023	Anterior cingulate area	layer 5	191	33	224	0.852678571428571	0.147321428571429
C57BL6J-2.023	Anterior cingulate area	layer 6a	193	28	221	0.873303167420814	0.126696832579186
C57BL6J-2.023	Anterior cingulate area	layer 6b	7	0	7	1	0
C57BL6J-2.023	Gustatory areas	layer 1	18	5	23	0.782608695652174	0.217391304347826
C57BL6J-2.023	Gustatory areas	layer 2/3	101	12	113	0.893805309734513	0.106194690265487
C57BL6J-2.023	Gustatory areas	layer 4	18	5	23	0.782608695652174	0.217391304347826
C57BL6J-2.023	Gustatory areas	layer 5	52	17	69	0.753623188405797	0.246376811594203
C57BL6J-2.023	Gustatory areas	layer 6a	23	2	25	0.92	0.08
C57BL6J-2.023	Prelimbic area	layer 6a	10	0	10	1	0
C57BL6J-2.023	Prelimbic area	layer 6b	10	1	11	0.909090909090909	0.0909090909090909
C57BL6J-2.023	Primary somatosensory area	layer 1	82	21	103	0.796116504854369	0.203883495145631
C57BL6J-2.023	Primary somatosensory area	layer 2/3	358	34	392	0.913265306122449	0.086734693877551
C57BL6J-2.023	Primary somatosensory area	layer 4	232	20	252	0.920634920634921	0.0793650793650794
C57BL6J-2.023	Primary somatosensory area	layer 5	89	33	122	0.729508196721312	0.270491803278689
C57BL6J-2.023	Primary somatosensory area	layer 6a	11	2	13	0.846153846153846	0.153846153846154
C57BL6J-2.023	Secondary motor area	layer 1	29	11	40	0.725	0.275
C57BL6J-2.023	Secondary motor area	layer 2/3	195	29	224	0.870535714285714	0.129464285714286
C57BL6J-2.023	Secondary motor area	layer 5	116	34	150	0.773333333333333	0.226666666666667
C57BL6J-2.023	Secondary motor area	layer 6a	190	31	221	0.85972850678733	0.14027149321267
C57BL6J-2.023	Secondary motor area	layer 6b	11	0	11	1	0
