brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.038	Agranular insular area	layer 1	5	2	7	0.714285714285714	0.285714285714286
C57BL6J-1.038	Agranular insular area	layer 2/3	125	7	132	0.946969696969697	0.053030303030303
C57BL6J-1.038	Agranular insular area	layer 5	89	33	122	0.729508196721312	0.270491803278689
C57BL6J-1.038	Agranular insular area	layer 6a	39	9	48	0.8125	0.1875
C57BL6J-1.038	Anterior cingulate area	layer 1	26	5	31	0.838709677419355	0.161290322580645
C57BL6J-1.038	Anterior cingulate area	layer 2/3	25	4	29	0.862068965517241	0.137931034482759
C57BL6J-1.038	Anterior cingulate area	layer 5	20	4	24	0.833333333333333	0.166666666666667
C57BL6J-1.038	Frontal pole	layer 6a	62	5	67	0.925373134328358	0.0746268656716418
C57BL6J-1.038	Orbital area	layer 1	23	8	31	0.741935483870968	0.258064516129032
C57BL6J-1.038	Orbital area	layer 2/3	433	35	468	0.925213675213675	0.0747863247863248
C57BL6J-1.038	Orbital area	layer 5	463	105	568	0.815140845070423	0.184859154929577
C57BL6J-1.038	Orbital area	layer 6a	234	30	264	0.886363636363636	0.113636363636364
C57BL6J-1.038	Prelimbic area	layer 1	2	6	8	0.25	0.75
C57BL6J-1.038	Prelimbic area	layer 2/3	83	4	87	0.954022988505747	0.0459770114942529
C57BL6J-1.038	Prelimbic area	layer 5	93	16	109	0.853211009174312	0.146788990825688
C57BL6J-1.038	Prelimbic area	layer 6a	55	6	61	0.901639344262295	0.0983606557377049
C57BL6J-1.038	Secondary motor area	layer 1	106	19	125	0.848	0.152
C57BL6J-1.038	Secondary motor area	layer 2/3	483	84	567	0.851851851851852	0.148148148148148
C57BL6J-1.038	Secondary motor area	layer 5	423	107	530	0.79811320754717	0.20188679245283
C57BL6J-1.038	Secondary motor area	layer 6a	126	20	146	0.863013698630137	0.136986301369863
