brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.085	Anterior area	layer 1	9	5	14	0.642857142857143	0.357142857142857
C57BL6J-1.085	Anterior area	layer 2/3	217	18	235	0.923404255319149	0.0765957446808511
C57BL6J-1.085	Anterior area	layer 4	77	9	86	0.895348837209302	0.104651162790698
C57BL6J-1.085	Anterior area	layer 5	79	15	94	0.840425531914894	0.159574468085106
C57BL6J-1.085	Anterior area	layer 6a	109	12	121	0.900826446280992	0.0991735537190083
C57BL6J-1.085	Anterior area	layer 6b	14	2	16	0.875	0.125
C57BL6J-1.085	Anteromedial visual area	layer 2/3	45	9	54	0.833333333333333	0.166666666666667
C57BL6J-1.085	Anteromedial visual area	layer 4	19	1	20	0.95	0.05
C57BL6J-1.085	Anteromedial visual area	layer 5	14	4	18	0.777777777777778	0.222222222222222
C57BL6J-1.085	Anteromedial visual area	layer 6a	11	1	12	0.916666666666667	0.0833333333333333
C57BL6J-1.085	Anteromedial visual area	layer 6b	1	0	1	1	0
C57BL6J-1.085	Dorsal auditory area	layer 1	27	1	28	0.964285714285714	0.0357142857142857
C57BL6J-1.085	Dorsal auditory area	layer 2/3	80	10	90	0.888888888888889	0.111111111111111
C57BL6J-1.085	Dorsal auditory area	layer 4	18	4	22	0.818181818181818	0.181818181818182
C57BL6J-1.085	Dorsal auditory area	layer 5	60	12	72	0.833333333333333	0.166666666666667
C57BL6J-1.085	Dorsal auditory area	layer 6a	44	6	50	0.88	0.12
C57BL6J-1.085	Dorsal auditory area	layer 6b	2	0	2	1	0
C57BL6J-1.085	Perirhinal area	layer 2/3	22	6	28	0.785714285714286	0.214285714285714
C57BL6J-1.085	Perirhinal area	layer 5	9	0	9	1	0
C57BL6J-1.085	Perirhinal area	layer 6a	0	1	1	0	1
C57BL6J-1.085	Primary auditory area	layer 1	16	0	16	1	0
C57BL6J-1.085	Primary auditory area	layer 2/3	81	4	85	0.952941176470588	0.0470588235294118
C57BL6J-1.085	Primary auditory area	layer 4	42	4	46	0.91304347826087	0.0869565217391304
C57BL6J-1.085	Primary auditory area	layer 5	56	23	79	0.708860759493671	0.291139240506329
C57BL6J-1.085	Primary auditory area	layer 6a	34	3	37	0.918918918918919	0.0810810810810811
C57BL6J-1.085	Primary auditory area	layer 6b	1	0	1	1	0
C57BL6J-1.085	Primary somatosensory area	layer 1	31	2	33	0.939393939393939	0.0606060606060606
C57BL6J-1.085	Primary somatosensory area	layer 2/3	245	28	273	0.897435897435897	0.102564102564103
C57BL6J-1.085	Primary somatosensory area	layer 4	210	24	234	0.897435897435897	0.102564102564103
C57BL6J-1.085	Primary somatosensory area	layer 5	84	29	113	0.743362831858407	0.256637168141593
C57BL6J-1.085	Primary somatosensory area	layer 6a	173	15	188	0.920212765957447	0.0797872340425532
C57BL6J-1.085	Primary somatosensory area	layer 6b	21	1	22	0.954545454545455	0.0454545454545455
C57BL6J-1.085	Retrosplenial area	layer 1	202	31	233	0.866952789699571	0.133047210300429
C57BL6J-1.085	Retrosplenial area	layer 2/3	571	36	607	0.940691927512356	0.0593080724876442
C57BL6J-1.085	Retrosplenial area	layer 5	167	33	200	0.835	0.165
C57BL6J-1.085	Retrosplenial area	layer 6a	105	16	121	0.867768595041322	0.132231404958678
C57BL6J-1.085	Retrosplenial area	layer 6b	13	1	14	0.928571428571429	0.0714285714285714
C57BL6J-1.085	Rostrolateral area	layer 1	4	2	6	0.666666666666667	0.333333333333333
C57BL6J-1.085	Rostrolateral area	layer 2/3	39	7	46	0.847826086956522	0.152173913043478
C57BL6J-1.085	Rostrolateral area	layer 4	16	2	18	0.888888888888889	0.111111111111111
C57BL6J-1.085	Rostrolateral area	layer 5	5	0	5	1	0
C57BL6J-1.085	Rostrolateral area	layer 6a	8	0	8	1	0
C57BL6J-1.085	Rostrolateral area	layer 6b	1	0	1	1	0
C57BL6J-1.085	Supplemental somatosensory area	layer 1	23	2	25	0.92	0.08
C57BL6J-1.085	Supplemental somatosensory area	layer 2/3	97	10	107	0.906542056074766	0.0934579439252336
C57BL6J-1.085	Supplemental somatosensory area	layer 4	44	14	58	0.758620689655172	0.241379310344828
C57BL6J-1.085	Supplemental somatosensory area	layer 5	54	12	66	0.818181818181818	0.181818181818182
C57BL6J-1.085	Supplemental somatosensory area	layer 6a	48	6	54	0.888888888888889	0.111111111111111
C57BL6J-1.085	Supplemental somatosensory area	layer 6b	3	0	3	1	0
C57BL6J-1.085	Temporal association areas	layer 1	4	1	5	0.8	0.2
C57BL6J-1.085	Temporal association areas	layer 2/3	41	10	51	0.803921568627451	0.196078431372549
C57BL6J-1.085	Temporal association areas	layer 4	25	3	28	0.892857142857143	0.107142857142857
C57BL6J-1.085	Temporal association areas	layer 5	79	15	94	0.840425531914894	0.159574468085106
C57BL6J-1.085	Temporal association areas	layer 6a	75	2	77	0.974025974025974	0.025974025974026
C57BL6J-1.085	Temporal association areas	layer 6b	2	0	2	1	0
C57BL6J-1.085	Ventral auditory area	layer 1	11	2	13	0.846153846153846	0.153846153846154
C57BL6J-1.085	Ventral auditory area	layer 2/3	33	3	36	0.916666666666667	0.0833333333333333
C57BL6J-1.085	Ventral auditory area	layer 4	30	2	32	0.9375	0.0625
C57BL6J-1.085	Ventral auditory area	layer 5	48	11	59	0.813559322033898	0.186440677966102
C57BL6J-1.085	Ventral auditory area	layer 6a	45	3	48	0.9375	0.0625
C57BL6J-1.085	Ventral auditory area	layer 6b	1	0	1	1	0
