brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.040	Agranular insular area	layer 1	8	8	16	0.5	0.5
C57BL6J-1.040	Agranular insular area	layer 2/3	136	14	150	0.906666666666667	0.0933333333333333
C57BL6J-1.040	Agranular insular area	layer 5	117	26	143	0.818181818181818	0.181818181818182
C57BL6J-1.040	Agranular insular area	layer 6a	106	9	115	0.921739130434783	0.0782608695652174
C57BL6J-1.040	Anterior cingulate area	layer 1	24	6	30	0.8	0.2
C57BL6J-1.040	Anterior cingulate area	layer 2/3	55	11	66	0.833333333333333	0.166666666666667
C57BL6J-1.040	Anterior cingulate area	layer 5	32	9	41	0.780487804878049	0.219512195121951
C57BL6J-1.040	Anterior cingulate area	layer 6a	12	1	13	0.923076923076923	0.0769230769230769
C57BL6J-1.040	Frontal pole	layer 6a	33	2	35	0.942857142857143	0.0571428571428571
C57BL6J-1.040	Infralimbic area	layer 1	16	5	21	0.761904761904762	0.238095238095238
C57BL6J-1.040	Infralimbic area	layer 2/3	116	10	126	0.920634920634921	0.0793650793650794
C57BL6J-1.040	Infralimbic area	layer 5	60	12	72	0.833333333333333	0.166666666666667
C57BL6J-1.040	Infralimbic area	layer 6a	2	0	2	1	0
C57BL6J-1.040	Orbital area	layer 1	32	5	37	0.864864864864865	0.135135135135135
C57BL6J-1.040	Orbital area	layer 2/3	279	38	317	0.8801261829653	0.1198738170347
C57BL6J-1.040	Orbital area	layer 5	411	91	502	0.818725099601594	0.181274900398406
C57BL6J-1.040	Orbital area	layer 6a	308	46	354	0.870056497175141	0.129943502824859
C57BL6J-1.040	Prelimbic area	layer 1	41	11	52	0.788461538461538	0.211538461538462
C57BL6J-1.040	Prelimbic area	layer 2/3	178	10	188	0.946808510638298	0.0531914893617021
C57BL6J-1.040	Prelimbic area	layer 5	101	29	130	0.776923076923077	0.223076923076923
C57BL6J-1.040	Prelimbic area	layer 6a	112	7	119	0.941176470588235	0.0588235294117647
C57BL6J-1.040	Secondary motor area	layer 1	53	33	86	0.616279069767442	0.383720930232558
C57BL6J-1.040	Secondary motor area	layer 2/3	469	70	539	0.87012987012987	0.12987012987013
C57BL6J-1.040	Secondary motor area	layer 5	422	107	529	0.79773156899811	0.20226843100189
C57BL6J-1.040	Secondary motor area	layer 6a	272	35	307	0.885993485342019	0.11400651465798
