brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.081	Agranular insular area	layer 1	0	1	1	0	1
C57BL6J-1.081	Agranular insular area	layer 2/3	35	3	38	0.921052631578947	0.0789473684210526
C57BL6J-1.081	Agranular insular area	layer 5	17	7	24	0.708333333333333	0.291666666666667
C57BL6J-1.081	Agranular insular area	layer 6a	13	3	16	0.8125	0.1875
C57BL6J-1.081	Agranular insular area	layer 6b	2	0	2	1	0
C57BL6J-1.081	Anterior area	layer 1	0	2	2	0	1
C57BL6J-1.081	Anterior area	layer 2/3	44	8	52	0.846153846153846	0.153846153846154
C57BL6J-1.081	Anterior area	layer 4	2	1	3	0.666666666666667	0.333333333333333
C57BL6J-1.081	Anterior area	layer 5	11	1	12	0.916666666666667	0.0833333333333333
C57BL6J-1.081	Dorsal auditory area	layer 1	4	1	5	0.8	0.2
C57BL6J-1.081	Dorsal auditory area	layer 2/3	44	2	46	0.956521739130435	0.0434782608695652
C57BL6J-1.081	Dorsal auditory area	layer 4	5	1	6	0.833333333333333	0.166666666666667
C57BL6J-1.081	Dorsal auditory area	layer 5	3	2	5	0.6	0.4
C57BL6J-1.081	Primary somatosensory area	layer 1	43	11	54	0.796296296296296	0.203703703703704
C57BL6J-1.081	Primary somatosensory area	layer 2/3	514	58	572	0.898601398601399	0.101398601398601
C57BL6J-1.081	Primary somatosensory area	layer 4	416	32	448	0.928571428571429	0.0714285714285714
C57BL6J-1.081	Primary somatosensory area	layer 5	172	45	217	0.792626728110599	0.207373271889401
C57BL6J-1.081	Primary somatosensory area	layer 6a	296	38	334	0.88622754491018	0.11377245508982
C57BL6J-1.081	Primary somatosensory area	layer 6b	49	3	52	0.942307692307692	0.0576923076923077
C57BL6J-1.081	Retrosplenial area	layer 1	13	14	27	0.481481481481481	0.518518518518518
C57BL6J-1.081	Retrosplenial area	layer 2/3	503	32	535	0.94018691588785	0.0598130841121495
C57BL6J-1.081	Retrosplenial area	layer 5	195	21	216	0.902777777777778	0.0972222222222222
C57BL6J-1.081	Retrosplenial area	layer 6a	89	10	99	0.898989898989899	0.101010101010101
C57BL6J-1.081	Retrosplenial area	layer 6b	8	2	10	0.8	0.2
C57BL6J-1.081	Supplemental somatosensory area	layer 1	12	5	17	0.705882352941177	0.294117647058824
C57BL6J-1.081	Supplemental somatosensory area	layer 2/3	161	11	172	0.936046511627907	0.063953488372093
C57BL6J-1.081	Supplemental somatosensory area	layer 4	49	10	59	0.830508474576271	0.169491525423729
C57BL6J-1.081	Supplemental somatosensory area	layer 5	64	22	86	0.744186046511628	0.255813953488372
C57BL6J-1.081	Supplemental somatosensory area	layer 6a	171	22	193	0.886010362694301	0.113989637305699
C57BL6J-1.081	Supplemental somatosensory area	layer 6b	24	1	25	0.96	0.04
C57BL6J-1.081	Temporal association areas	layer 1	2	4	6	0.333333333333333	0.666666666666667
C57BL6J-1.081	Temporal association areas	layer 2/3	68	7	75	0.906666666666667	0.0933333333333333
C57BL6J-1.081	Temporal association areas	layer 4	27	7	34	0.794117647058823	0.205882352941176
C57BL6J-1.081	Temporal association areas	layer 5	55	10	65	0.846153846153846	0.153846153846154
C57BL6J-1.081	Temporal association areas	layer 6a	40	4	44	0.909090909090909	0.0909090909090909
C57BL6J-1.081	Ventral auditory area	layer 1	5	4	9	0.555555555555556	0.444444444444444
C57BL6J-1.081	Ventral auditory area	layer 2/3	78	6	84	0.928571428571429	0.0714285714285714
C57BL6J-1.081	Ventral auditory area	layer 4	22	7	29	0.758620689655172	0.241379310344828
C57BL6J-1.081	Ventral auditory area	layer 5	28	10	38	0.736842105263158	0.263157894736842
C57BL6J-1.081	Visceral area	layer 2/3	6	1	7	0.857142857142857	0.142857142857143
C57BL6J-1.081	Visceral area	layer 4	1	1	2	0.5	0.5
C57BL6J-1.081	Visceral area	layer 5	17	1	18	0.944444444444444	0.0555555555555556
C57BL6J-1.081	Visceral area	layer 6a	49	6	55	0.890909090909091	0.109090909090909
C57BL6J-1.081	Visceral area	layer 6b	1	1	2	0.5	0.5
