brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-2.032	Agranular insular area	layer 1	2	2	4	0.5	0.5
C57BL6J-2.032	Agranular insular area	layer 2/3	26	3	29	0.896551724137931	0.103448275862069
C57BL6J-2.032	Agranular insular area	layer 5	17	6	23	0.739130434782609	0.260869565217391
C57BL6J-2.032	Agranular insular area	layer 6a	7	5	12	0.583333333333333	0.416666666666667
C57BL6J-2.032	Agranular insular area	layer 6b	1	0	1	1	0
C57BL6J-2.032	Anterior cingulate area	layer 1	58	12	70	0.828571428571429	0.171428571428571
C57BL6J-2.032	Anterior cingulate area	layer 2/3	100	16	116	0.862068965517241	0.137931034482759
C57BL6J-2.032	Anterior cingulate area	layer 5	83	11	94	0.882978723404255	0.117021276595745
C57BL6J-2.032	Anterior cingulate area	layer 6a	43	6	49	0.877551020408163	0.122448979591837
C57BL6J-2.032	Anterior cingulate area	layer 6b	3	0	3	1	0
C57BL6J-2.032	Primary somatosensory area	layer 1	104	26	130	0.8	0.2
C57BL6J-2.032	Primary somatosensory area	layer 2/3	474	50	524	0.904580152671756	0.0954198473282443
C57BL6J-2.032	Primary somatosensory area	layer 4	410	40	450	0.911111111111111	0.0888888888888889
C57BL6J-2.032	Primary somatosensory area	layer 5	166	52	218	0.761467889908257	0.238532110091743
C57BL6J-2.032	Primary somatosensory area	layer 6a	357	64	421	0.847980997624703	0.152019002375297
C57BL6J-2.032	Primary somatosensory area	layer 6b	29	1	30	0.966666666666667	0.0333333333333333
C57BL6J-2.032	Secondary motor area	layer 1	5	3	8	0.625	0.375
C57BL6J-2.032	Secondary motor area	layer 2/3	53	5	58	0.913793103448276	0.0862068965517241
C57BL6J-2.032	Secondary motor area	layer 5	25	3	28	0.892857142857143	0.107142857142857
C57BL6J-2.032	Secondary motor area	layer 6a	21	10	31	0.67741935483871	0.32258064516129
C57BL6J-2.032	Supplemental somatosensory area	layer 1	12	8	20	0.6	0.4
C57BL6J-2.032	Supplemental somatosensory area	layer 2/3	151	21	172	0.877906976744186	0.122093023255814
C57BL6J-2.032	Supplemental somatosensory area	layer 4	79	14	93	0.849462365591398	0.150537634408602
C57BL6J-2.032	Supplemental somatosensory area	layer 5	61	34	95	0.642105263157895	0.357894736842105
C57BL6J-2.032	Supplemental somatosensory area	layer 6a	160	13	173	0.92485549132948	0.0751445086705202
C57BL6J-2.032	Supplemental somatosensory area	layer 6b	7	1	8	0.875	0.125
C57BL6J-2.032	Visceral area	layer 1	11	5	16	0.6875	0.3125
C57BL6J-2.032	Visceral area	layer 2/3	27	7	34	0.794117647058823	0.205882352941176
C57BL6J-2.032	Visceral area	layer 4	2	5	7	0.285714285714286	0.714285714285714
C57BL6J-2.032	Visceral area	layer 5	11	10	21	0.523809523809524	0.476190476190476
C57BL6J-2.032	Visceral area	layer 6a	35	4	39	0.897435897435897	0.102564102564103
C57BL6J-2.032	Visceral area	layer 6b	3	0	3	1	0
