brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.062	Agranular insular area	layer 1	1	1	2	0.5	0.5
C57BL6J-1.062	Agranular insular area	layer 2/3	56	10	66	0.848484848484849	0.151515151515152
C57BL6J-1.062	Agranular insular area	layer 5	31	10	41	0.75609756097561	0.24390243902439
C57BL6J-1.062	Agranular insular area	layer 6a	28	2	30	0.933333333333333	0.0666666666666667
C57BL6J-1.062	Anterior cingulate area	layer 1	134	28	162	0.827160493827161	0.172839506172839
C57BL6J-1.062	Anterior cingulate area	layer 2/3	210	25	235	0.893617021276596	0.106382978723404
C57BL6J-1.062	Anterior cingulate area	layer 5	142	42	184	0.771739130434783	0.228260869565217
C57BL6J-1.062	Anterior cingulate area	layer 6a	95	6	101	0.940594059405941	0.0594059405940594
C57BL6J-1.062	Anterior cingulate area	layer 6b	3	0	3	1	0
C57BL6J-1.062	Gustatory areas	layer 1	1	3	4	0.25	0.75
C57BL6J-1.062	Gustatory areas	layer 2/3	32	5	37	0.864864864864865	0.135135135135135
C57BL6J-1.062	Gustatory areas	layer 4	7	5	12	0.583333333333333	0.416666666666667
C57BL6J-1.062	Gustatory areas	layer 5	18	13	31	0.580645161290323	0.419354838709677
C57BL6J-1.062	Gustatory areas	layer 6a	42	3	45	0.933333333333333	0.0666666666666667
C57BL6J-1.062	Gustatory areas	layer 6b	1	1	2	0.5	0.5
C57BL6J-1.062	Primary somatosensory area	layer 1	61	30	91	0.67032967032967	0.32967032967033
C57BL6J-1.062	Primary somatosensory area	layer 2/3	648	87	735	0.881632653061225	0.118367346938776
C57BL6J-1.062	Primary somatosensory area	layer 4	464	51	515	0.900970873786408	0.0990291262135922
C57BL6J-1.062	Primary somatosensory area	layer 5	236	59	295	0.8	0.2
C57BL6J-1.062	Primary somatosensory area	layer 6a	527	78	605	0.871074380165289	0.128925619834711
C57BL6J-1.062	Primary somatosensory area	layer 6b	40	1	41	0.975609756097561	0.024390243902439
C57BL6J-1.062	Secondary motor area	layer 1	2	6	8	0.25	0.75
C57BL6J-1.062	Secondary motor area	layer 2/3	98	12	110	0.890909090909091	0.109090909090909
C57BL6J-1.062	Secondary motor area	layer 5	59	13	72	0.819444444444444	0.180555555555556
C57BL6J-1.062	Secondary motor area	layer 6a	59	9	68	0.867647058823529	0.132352941176471
C57BL6J-1.062	Secondary motor area	layer 6b	2	0	2	1	0
C57BL6J-1.062	Supplemental somatosensory area	layer 1	41	23	64	0.640625	0.359375
C57BL6J-1.062	Supplemental somatosensory area	layer 2/3	210	18	228	0.921052631578947	0.0789473684210526
C57BL6J-1.062	Supplemental somatosensory area	layer 4	124	14	138	0.898550724637681	0.101449275362319
C57BL6J-1.062	Supplemental somatosensory area	layer 5	90	36	126	0.714285714285714	0.285714285714286
C57BL6J-1.062	Supplemental somatosensory area	layer 6a	191	18	209	0.913875598086124	0.0861244019138756
C57BL6J-1.062	Supplemental somatosensory area	layer 6b	13	2	15	0.866666666666667	0.133333333333333
C57BL6J-1.062	Visceral area	layer 1	2	0	2	1	0
C57BL6J-1.062	Visceral area	layer 2/3	36	4	40	0.9	0.1
C57BL6J-1.062	Visceral area	layer 4	13	2	15	0.866666666666667	0.133333333333333
C57BL6J-1.062	Visceral area	layer 5	8	8	16	0.5	0.5
C57BL6J-1.062	Visceral area	layer 6a	27	2	29	0.931034482758621	0.0689655172413793
C57BL6J-1.062	Visceral area	layer 6b	1	0	1	1	0
