brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-2.051	Lateral visual area	layer 1	7	2	9	0.777777777777778	0.222222222222222
C57BL6J-2.051	Lateral visual area	layer 2/3	36	2	38	0.947368421052632	0.0526315789473684
C57BL6J-2.051	Lateral visual area	layer 4	24	3	27	0.888888888888889	0.111111111111111
C57BL6J-2.051	Lateral visual area	layer 5	16	4	20	0.8	0.2
C57BL6J-2.051	Lateral visual area	layer 6a	9	0	9	1	0
C57BL6J-2.051	Laterointermediate area	layer 1	1	0	1	1	0
C57BL6J-2.051	Laterointermediate area	layer 2/3	11	1	12	0.916666666666667	0.0833333333333333
C57BL6J-2.051	Laterointermediate area	layer 4	0	2	2	0	1
C57BL6J-2.051	Posterolateral visual area	layer 5	3	0	3	1	0
C57BL6J-2.051	Posterolateral visual area	layer 6a	18	1	19	0.947368421052632	0.0526315789473684
C57BL6J-2.051	Posterolateral visual area	layer 6b	3	0	3	1	0
C57BL6J-2.051	Postrhinal area	layer 1	1	5	6	0.166666666666667	0.833333333333333
C57BL6J-2.051	Postrhinal area	layer 2/3	94	6	100	0.94	0.06
C57BL6J-2.051	Postrhinal area	layer 4	6	0	6	1	0
C57BL6J-2.051	Postrhinal area	layer 5	40	10	50	0.8	0.2
C57BL6J-2.051	Postrhinal area	layer 6a	28	11	39	0.717948717948718	0.282051282051282
C57BL6J-2.051	Primary visual area	layer 1	76	13	89	0.853932584269663	0.146067415730337
C57BL6J-2.051	Primary visual area	layer 2/3	261	29	290	0.9	0.1
C57BL6J-2.051	Primary visual area	layer 4	90	20	110	0.818181818181818	0.181818181818182
C57BL6J-2.051	Primary visual area	layer 5	86	19	105	0.819047619047619	0.180952380952381
C57BL6J-2.051	Primary visual area	layer 6a	152	11	163	0.932515337423313	0.0674846625766871
C57BL6J-2.051	Primary visual area	layer 6b	4	0	4	1	0
C57BL6J-2.051	Retrosplenial area	layer 1	2	2	4	0.5	0.5
C57BL6J-2.051	Retrosplenial area	layer 2/3	74	7	81	0.91358024691358	0.0864197530864197
C57BL6J-2.051	Retrosplenial area	layer 5	52	8	60	0.866666666666667	0.133333333333333
C57BL6J-2.051	Retrosplenial area	layer 6a	41	11	52	0.788461538461538	0.211538461538462
