brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-2.053	Posterolateral visual area	layer 1	3	1	4	0.75	0.25
C57BL6J-2.053	Posterolateral visual area	layer 2/3	30	4	34	0.882352941176471	0.117647058823529
C57BL6J-2.053	Posterolateral visual area	layer 4	10	0	10	1	0
C57BL6J-2.053	Posterolateral visual area	layer 5	44	14	58	0.758620689655172	0.241379310344828
C57BL6J-2.053	Postrhinal area	layer 2/3	13	4	17	0.764705882352941	0.235294117647059
C57BL6J-2.053	Postrhinal area	layer 5	1	0	1	1	0
C57BL6J-2.053	Primary visual area	layer 1	66	10	76	0.868421052631579	0.131578947368421
C57BL6J-2.053	Primary visual area	layer 2/3	117	14	131	0.893129770992366	0.106870229007634
C57BL6J-2.053	Primary visual area	layer 4	49	8	57	0.859649122807018	0.140350877192982
C57BL6J-2.053	Primary visual area	layer 5	32	4	36	0.888888888888889	0.111111111111111
C57BL6J-2.053	Retrosplenial area	layer 1	60	9	69	0.869565217391304	0.130434782608696
C57BL6J-2.053	Retrosplenial area	layer 2/3	86	7	93	0.924731182795699	0.0752688172043011
C57BL6J-2.053	Retrosplenial area	layer 5	28	10	38	0.736842105263158	0.263157894736842
