brain_section_label	ccf_region_name1	layer	n_glut	n_gaba	n_total	proportion_glut	proportion_gaba
C57BL6J-1.035	Agranular insular area	layer 1	1	5	6	0.166666666666667	0.833333333333333
C57BL6J-1.035	Agranular insular area	layer 2/3	172	13	185	0.92972972972973	0.0702702702702703
C57BL6J-1.035	Agranular insular area	layer 5	85	15	100	0.85	0.15
C57BL6J-1.035	Anterior cingulate area	layer 1	6	1	7	0.857142857142857	0.142857142857143
C57BL6J-1.035	Anterior cingulate area	layer 2/3	13	1	14	0.928571428571429	0.0714285714285714
C57BL6J-1.035	Anterior cingulate area	layer 5	5	0	5	1	0
C57BL6J-1.035	Frontal pole	layer 5	113	18	131	0.862595419847328	0.137404580152672
C57BL6J-1.035	Orbital area	layer 1	158	23	181	0.87292817679558	0.12707182320442
C57BL6J-1.035	Orbital area	layer 2/3	549	38	587	0.93526405451448	0.0647359454855196
C57BL6J-1.035	Orbital area	layer 5	415	106	521	0.796545105566219	0.203454894433781
C57BL6J-1.035	Prelimbic area	layer 1	23	15	38	0.605263157894737	0.394736842105263
C57BL6J-1.035	Prelimbic area	layer 2/3	105	7	112	0.9375	0.0625
C57BL6J-1.035	Prelimbic area	layer 5	110	29	139	0.79136690647482	0.20863309352518
C57BL6J-1.035	Secondary motor area	layer 1	74	36	110	0.672727272727273	0.327272727272727
C57BL6J-1.035	Secondary motor area	layer 2/3	620	93	713	0.869565217391304	0.130434782608696
C57BL6J-1.035	Secondary motor area	layer 5	318	74	392	0.811224489795918	0.188775510204082
